Origem;Destino;Peso;Volume;Natureza_Mercadoria;Tipo_Veiculo;Prazo_Entrega
Santos-SP;Sao Bernardo do Campo-SP;783.000;5;NESTLE;Toco;120
Santos-SP;Aracariguama-SP;45.000;1;NESPRESSO;Cavalo;120
Teresopolis-RJ;Aracariguama-SP;67.200;1;NESPRESSO;Cavalo;24
Jarinu-SP;Aracariguama-SP;178.850;1;NESPRESSO;Cavalo;120
Jacarei-SP;Sao Bernardo do Campo-SP;18.330.000;181;NESTLE;Toco;120
Jacarei-SP;Sao Bernardo do Campo-SP;180.000;3;NESTLE;Iveco/ Master / Tran;120
Vila Velha-ES;Aracariguama-SP;691.200;24;NESPRESSO;Truck;120
Sao Goncalo-RJ;Sao Roque-SP;1.000.000;48;LOGSOR;Toco;120
Sao Joao de Meriti-RJ;Rio de Janeiro-RJ;20.000;1;NESPRESSO;Fiorino /Doblo / Kan;24
Sao Roque-SP;Aracariguama-SP;178.850;1;NESPRESSO;Cavalo;120
Sao Joao de Meriti-RJ;Rio de Janeiro-RJ;20.000;1;NESPRESSO;Fiorino /Doblo / Kan;24
Sao Goncalo-RJ;Rio de Janeiro-RJ;160.000;6;Bbraun;Furgao Curto;24
Vila Velha-ES;Aracariguama-SP;486.000;18;NESPRESSO;Cavalo;120
Porto Seguro-BA;Aracariguama-SP;113.400;1;NESPRESSO;Toco;120
Porto Seguro-BA;Aracariguama-SP;64.150;1;NESPRESSO;Toco;120
Sorocaba-SP;Sao Bernardo do Campo-SP;120.000;3;NESTLE;Toco;120
Sorocaba-SP;Aracariguama-SP;36.000;1;NESPRESSO;Cavalo;120
Sorocaba-SP;Sao Bernardo do Campo-SP;98.483.400;2849;NESTLE;Cavalo;120
Aracariguama-SP;Sao Paulo-SP;50.000;1;NESPRESSO;Fiorino /Doblo / Kan;24
Itapetininga-SP;Sao Bernardo do Campo-SP;340.000;7;NESTLE;Iveco/ Master / Tran;120
Aracariguama-SP;Aracariguama-SP;21.800;1;NESPRESSO;Fiorino /Doblo / Kan;120
Aracariguama-SP;Sao Paulo-SP;65.930;1;NESPRESSO;Furgao Curto;24
Aracariguama-SP;S�o Paulo-SP;65.930;1;NESPRESSO;Fiorino /Doblo / Kan;120
Taubate-SP;Sao Bernardo do Campo-SP;6.292.350;34;NESTLE;Toco;120
Porto Ferreira-SP;Aracariguama-SP;21.600;1;NESPRESSO;Cavalo;120
Embu das Artes-SP;Aracariguama-SP;673.560;24;NESPRESSO;Cavalo;24
Cariacica-ES;Barueri-SP;1.703.400;12;EPSON;Truck;96
Angra dos Reis-RJ;Sao Joao de Meriti-RJ;20.000;1;NESPRESSO;Toco;120
Camanducaia-MG;Aracariguama-SP;278.400;1;NESPRESSO;Cavalo;120
Americana-SP;Resende-RJ;10.000;1;EPSON;Cavalo;72
Resende-RJ;Sao Paulo-SP;6.600.000;2;EPSON;Truck;48
Resende-RJ;Joinville-SC;336.960;1;EPSON;Toco;120
Resende-RJ;Sao Paulo-SP;6.639.380;3;EPSON;Truck;48
Resende-RJ;Sao Bernardo do Campo-SP;1.334.500;17;EPSON;Caminhao 3/4;48
Resende-RJ;Guarulhos-SP;750.000;10;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;12.807.900;1;EPSON;Truck;96
Resende-RJ;Guarulhos-SP;640.000;2;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;520.000;3;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;70.000;1;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;280.000;1;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;570.000;1;EPSON;Toco;24
Resende-RJ;Joinville-SC;2.250.000;11;EPSON;Toco;120
Resende-RJ;Guarulhos-SP;440.000;2;EPSON;Toco;24
Resende-RJ;Guarulhos-SP;60.000;1;EPSON;Toco;24
Resende-RJ;Joinville-SC;1.084.500;7;EPSON;Toco;120
Resende-RJ;Guarulhos-SP;7.390.000;60;EPSON;Toco;24
Resende-RJ;Louveira-SP;25.390.080;106;DIVERSOS;Caminhao 3/4 D+1;96
Resende-RJ;Guarulhos-SP;14.423.160;60;DIVERSOS;Iveco/ Master / Tran;48
Resende-RJ;Joinville-SC;132.000;155;DIVERSOS;Toco;120
